user1,5,4,2020.02.23. 11:15:49,24,08333
user1,5,1,2020.02.23. 11:24:15,18,02778
user5,5,0,2020.02.23. 11:29:44,14,00000
user6,5,1,2020.02.23. 11:33:11,19,02632
user1,5,2,2020.02.23. 11:34:33,15,06667
user1,5,3,2020.02.23. 11:36:17,21,07143
user1,5,2,2020.02.23. 11:48:55,25,04000
user1,5,1,2020.02.23. 12:03:43,23,02174
user7,5,5,2020.02.23. 16:48:06,37,06757
user1,5,2,2020.02.23. 16:57:03,33,03030
user1,5,2,2020.02.23. 17:05:55,80,01250
user1,5,2,2020.02.23. 17:09:44,20,05000
user1,5,3,2020.02.23. 17:11:38,19,07895
user1,5,1,2020.02.23. 18:43:03,15,03333
user1,5,2,2020.02.23. 18:44:29,16,06250
user1,5,2,2020.02.23. 18:57:55,29,03448
user8,5,5,2020.02.23. 21:34:37,24,10417
user1,5,1,2020.02.23. 22:07:29,95,00526
user1,5,2,2020.02.24. 13:19:21,18,05556
user1,5,1,2020.02.24. 13:54:24,16,03125
user10,5,2,2020.02.24. 14:36:07,21,04762
user10,5,5,2020.02.24. 14:55:00,18,13889
user10,5,4,2020.02.24. 14:56:03,32,06250
